state,stressor,year,January-March,April-June,July-September,October-December
I)daho,Un+known,2016,0.3,2.7,3.3,3
Id#aho,%U.nk*nown,2017,0.4,4.7,5.1,0.2
Idaho,Unknown,2018,0.4,4.1,5.7,4.5
Idaho,(U_nknow@n,2019,NA,NA,0.8,1.1
Idah)o,Unk!no&w$n,2020,1.9,5.8,3.8,5.4
Idah*o,Un*known,2021,1.7,6.2,NA,NA
Idaho,V+ar!r@oa m)i_t#e&s,2015,39.8,25.5,46.8,38.9
Idaho,#V+arroa mites,2016,31.7,21.2,25.3,31.9
Idaho,Va@rr&oa. mit^e)s,2017,74.2,31.2,53.7,34
$Idah&o,@Va!r&ro#a mi@tes,2018,28.3,50.8,83.6,64.9
Idaho,Varro-a mites,2019,24.5,NA,59.9,20.3
Idah.o,@V*arroa _mit+es,2020,10.4,44.2,45,52.1
Idaho,Varroa mi!tes,2021,33.3,31.9,NA,NA
Il*linois,&Di(ses_ases,2015,0.7,0.2,0.6,0.3
I@llinois,D.isesas*es,2016,0.4,2,0.7,1.2
Ill^inois,Dise-sases,2017,0.6,0.7,2.8,0.8
Il*linois,Dises^ases,2018,3.6,6.7,2.1,2.4
Illinoi_s,Di!sesase^s,2019,3.1,NA,0.7,1.1
Illinois,D!is.e^sa.ses,2020,0.2,1,1.8,1.1
Illin#ois,D%is!e#sa.s)e+s,2021,1.6,1.1,NA,NA
I-llinois,-Other,2015,12.6,2.3,3.4,1
Illinois,Othe+r,2016,5,4.7,2.9,3.9
Illi(nois,O#t^he(r,2017,10.2,5.5,4.6,4.9
Il-li+nois,Other,2018,10.4,9.9,1.5,6.9
*Illinois,Other,2019,15.5,NA,5.5,8.9
Illinois,+Othe(r,2020,7.3,11.9,6.6,2.7
.Illin&ois,Other,2021,17.9,2.8,NA,NA
Illinoi#s,Ot*her p-ests/p^a@rasites,2015,6.9,3.7,3,2.5
Illinois,Oth*er #pes@ts/)parasite+s,2016,7.8,4.4,7.9,11.7
Il%linois,(Ot*he)r pe$st^s$/parasites,2017,11.8,4.2,14.2,10.2
Illinois,Oth-er .pests/p*a*rasit+e(s,2018,11.2,7.9,10.6,13.1
Illin_o+is,Other pe&sts/pa)r%a@sit-e@s,2019,14.7,NA,8.3,27.3
Illinois,Other% pe!sts/$par$asi$te-s,2020,8.9,8.2,15.6,9.8
Illinois,Other p+est.s/pa&rasit!es,2021,12.9,3.1,NA,NA
I@llinois,&Pe_st+i@ci^des,2015,0.4,2.5,0.4,0.9
Illinois,Pes$ticid*es,2016,2.9,3.1,4.3,5.6
Illinois,Pesticides,2017,4.2,2.9,2.8,7.9
Ill&inois,Pestic$id#es,2018,3.5,6.6,5.1,2.8
Illinois,P-estic-id!e^s,2019,0.7,NA,2.5,3.4
Illinois,.Pe^s@ticide+s,2020,NA,8.3,4.9,2.9
Illi^no!is,Pesticides,2021,1.3,2.5,NA,NA
Il+linois,Unknown,2015,11.6,2.4,1,3.1
I_llinois,Unkn(o&wn,2016,10.4,2.1,1.6,4.8
Illinois,@Unknown,2017,7.9,1.4,3.3,4.9
Illinois,U^nkno%wn,2018,10.9,2.4,7,5.7
%I)llinois,%Unkn!own,2019,10.1,NA,11.5,8.9
Illino@is,Unk!n+own,2020,10,4,8.4,6.9
Il%li@nois,Unk(nown,2021,9.4,5.2,NA,NA
Ill!inois,Varroa mit@e$s,2015,12.3,10.3,7.7,9.4
Illin(ois,Varro*a mite(s,2016,15,11.4,17.4,27.8
Illinois,Varr*oa mi&tes,2017,24.3,11,29.9,28.9
Illinois,.Varroa_ mit&es,2018,25.7,13.8,21.2,27.2
Illinois,Var*roa mit#e&s,2019,33.3,NA,35.9,28.9
Illino@i)s,Varro$a m*ites,2020,17.2,23.5,28.1,26.4
Illinois,Varroa+ m(it%es,2021,28.8,22.7,NA,NA
India#na,Di(s!e$sase.s,2015,0.2,7,4.8,6.3
Ind%ian&a,Di_s@esase*s,2016,0.9,NA,1.2,0.2
(Indiana,&Dises@a+s(es,2017,5.2,0.1,0.4,1.7
I$ndi)ana,D!ises@as+es,2018,3,0.4,1.4,23.8
Indiana,*Di)se+sases,2019,2.6,NA,3,2.6
I^ndiana,Disesas#es,2020,0.1,1.8,1.7,NA
Indiana,*Dises-a.ses,2021,NA,0.6,NA,NA
I@ndiana,Other,2015,22.3,4.4,1,0.6
Indiana,Ot.he)r,2016,7.2,2.8,2.5,1
India(na,Othe#r,2017,10.4,8.6,3.8,3.9
Indian^a,O(t$he)r,2018,9.9,1.3,5,35.4
Indiana,^Other,2019,7.1,NA,19.2,1.6
In-diana,Oth(er,2020,1.9,5.4,0.7,2.4
Indiana,O$ther,2021,4.8,7.5,NA,NA
Indian)a,#Oth+e@r@ pests/paras+i-tes,2015,0.3,1.8,10.3,0.5
Indiana,Ot)he^r pe.sts/p&a!ra#site^s,2016,3.7,2.9,12.4,9.6
India@na,O@the!r pest(s+/p!a$rasites,2017,8,2.3,5.9,5.6
Indiana,^Oth#er p!es-ts/parasit(e_s,2018,8.3,3.5,12.2,21.3
Indiana,Oth!er !pest(s/pa!rasi&te-s,2019,8.8,NA,15.2,15
Indiana,Other pe_sts/pa%r^asi@tes,2020,0.5,12.5,12,4.1
Indiana,.Ot*h&er pes-ts/(pa%ras+ites,2021,5.4,7.3,NA,NA
Indiana,Pe^sticides,2015,0.3,0.5,8.2,0.1
Indiana,Pes+t%ic@id$es,2016,0.3,2.1,0.6,1.4
Indiana,P-es#ticides,2017,4.1,32.1,3.9,0.7
Indi&ana,Pest%icides,2018,0.5,4.5,20.6,64.6
Indiana,Pestic.ides,2019,5.5,NA,23.1,6.7
Ind&iana,+Pesti!cid!es,2020,2.9,20.2,24.5,1.9
Indiana,Pesticid*es,2021,0.7,7,NA,NA
Indiana,Un.kn!ow%n,2015,11.7,2,6.2,3.7
Ind.iana,$Unk-nown,2016,5.5,4.3,1.2,3.8
Ind.iana,&U$nknown,2017,7.1,1.3,2,8
Indiana,Unkn*ow)n,2018,3.7,1.1,0.5,2.3
Indiana,Unkno^wn,2019,1.7,NA,1.4,0.6
Indian^a,U(nknow&n,2020,6.2,1.5,1.3,5.7
Ind.ian$a,U^nkno(wn,2021,4.5,1.6,NA,NA
I^ndiana,Va_rr&o+a+ &m_i#tes,2015,20.7,15.4,13.7,15.1
!Indian!a,V#arr^oa mites,2016,17.4,12.5,50.4,28.2
Ind%ian!a,%Va+rroa mites,2017,15.8,5.9,13.9,23.5
Indiana,Varroa +m(it(e&s,2018,33.4,78.9,29.5,51.3
In%dian^a,V@arr+oa mites,2019,15.6,NA,55.7,20.7
Indiana,*V#a*r.r(o%a mite&s,2020,8.2,26.8,41.4,26.3
Indiana,Varro+a -mite*s,2021,34.4,22.8,NA,NA
I+o)w%a,Disesase(s,2015,4.6,2.9,0.1,0.6
$Iow#a,-Disesas&e#s,2016,NA,18.7,0.8,8.9
Iowa,Dis&esases,2017,8.4,7.6,2.4,12.3
Iow@a,+Di)sesas.es,2018,0.3,0.9,8.5,8.9
Iowa,Dis%esa*ses,2019,0.6,NA,5.8,5.6
Iowa,Di@s_esases,2020,NA,16.5,3.9,2.6
I@owa,_Di-sesases,2021,NA,0.6,NA,NA
I_owa,Ot_her,2015,18,2.7,5.6,24.8
Iowa,Othe!r,2016,34.4,6,2.4,11.4
Iowa,O#the*r,2017,11.9,8.2,4,17.9
Iowa,Other,2018,0.6,8.4,1.9,29.4
Iowa,Other,2019,7.7,NA,27.8,19.7
Io*wa,Other,2020,5.7,3.5,4.5,1.8
Iowa,Other,2021,7.8,1.3,NA,NA
Iowa,Othe.r pe@sts/&par_asites,2015,0.7,5.1,5.8,0.9
Iowa,Other pests/parasites,2016,0.5,17.8,3.4,9.8
I-owa,Other pe@sts^/+par*asi+te!s,2017,8.3,27.7,7.2,25.5
Iowa,Other. pes_ts/parasit_es,2018,1.1,9.3,9.8,27.2
Iowa,O*t)he&r p*ests/p$aras@ites,2019,1.7,NA,7.1,17.8
I*owa,Ot@h^e(r +pest&s/p*arasi@tes,2020,1.9,24.6,29.4,0.9
Iowa,O@t#h-er p_est-s@/parasite-s,2021,0.7,1.3,NA,NA
Io-wa,+Pesti$cid%es,2015,3.4,7.8,4.7,6.4
Iowa,_Pes+tic%ides,2016,2.1,0.6,16.7,9
Iowa,P@es$t@ic@ides,2017,12,26.7,3.9,32.6
Iowa,!P$esticid_es,2018,0.6,7.9,0.4,31.6
Iowa,+Pestic@ides,2019,0.3,NA,26.3,25.2
Iowa,)P$es#ticid-es,2020,0.2,0.8,6.3,NA
Iowa,Pe_sticides,2021,3.7,NA,NA,NA
Iowa,U&nkno_wn,2015,3.4,1.9,3.4,1.4
Iowa,Un!know.n,2016,12.2,5.7,5.6,6.3
Iowa,Unkn!o^wn,2017,11.7,0.9,2.2,5.5
Iowa,U.nknown,2018,1.4,0.3,0.4,5.6
Iowa,U*nkno%wn,2019,3.5,NA,3.6,4.2
@Iowa,Unknow^n,2020,5.5,0.5,NA,1.4
Iowa,(U.nkno%wn,2021,3.8,8.2,NA,NA
Io)wa,!Va^rro(a mite-s,2015,26,21.5,17.4,53.4
I@o)wa,V%a.r*roa !m*ite)s,2016,41.6,23.5,32.6,18.7
Iow&a,Va^r^r-o$a m#it_e%s,2017,33.6,39.4,17.2,61
Iowa,*Varr^oa@ mites,2018,5.3,12.7,29.9,55.1
I#owa,)Varroa mites,2019,34.8,NA,39.4,61
(Iowa,#V.arr!oa m^ites,2020,22.3,30.4,49.1,39.8
Iowa,Varroa. m^ites,2021,18.9,7.1,NA,NA
&Kansas,Di(sesa(se-s,2015,1.1,0.9,0.2,0.2
Kans^as,D.ise^sa-ses,2016,0.1,2.8,14.1,0.3
Ka(nsas,Di+sesases,2017,NA,0.7,14.8,3.3
Kansas,D*isesases,2018,1,1.3,6.6,26
Kansas,Dises-as@e*s,2019,2.5,NA,21.8,11.9
K.ansas,&Di@sesase$s,2020,7.8,24,15.6,1.2
Kansa&s,!Disesa(se-s,2021,NA,7.2,NA,NA
Kansas,#O-th$e@r,2015,9.5,3.5,14.8,33.9
Kansas,-Other,2016,2.6,3.7,4.5,5.1
Kans#as,Other,2017,16.4,1.8,1.1,0.6
.Kansas,O-ther,2018,27.9,2.1,23.7,1.6
Kan_sas,Othe_r,2019,21.6,NA,1.2,0.4
Kansas,Othe$r,2020,3.1,28.9,2.1,26.4
Kan&s_as,(Ot)h.er,2021,19.1,1.5,NA,NA
Kansa!s,$Other pe#sts-/p_a$ra_s*ite#s,2015,1.3,2.4,16.2,24.8
Kansa@s,O$th@er pest&s/%parasite%s,2016,10.6,11.6,25.5,8.3
K+ansa-s,O@t#her pests/p&aras#ites,2017,2.9,9.6,52.6,7.7
Kansas,Other pests/_parasit-es,2018,20.3,31.6,51.1,31.3
Ka+nsas,_Other pe_sts/)parasi+tes,2019,7.8,NA,33.8,15
Kansas,Other pests/parasi+te+s,2020,8.1,34.1,24.8,30.3
Ka$nsas,Other+ !pests/par&as#i#t.es,2021,2.8,21.2,NA,NA
K!ansas,_Pes@ti$cide@s,2015,14.2,0.1,14.1,25.1
Kansas,Pestic-id#es,2016,1.2,8.3,29.1,3.1
%K+ansas,Pesti%cides,2017,3.6,22.2,20.3,8.6
Kansas,Pest)ici#des,2018,4.3,24.9,8,43.7
Kansas,P)esticides,2019,12.2,NA,23.9,43.4
Kansas,P$e+s$tici.d+es,2020,7.8,32.8,34.1,33.3
Kansas,@Pesticid&es,2021,NA,8.5,NA,NA
Kan@sas,U&nknown,2015,3.4,4.9,1.7,19
Kansas,Un.k.no-w@n,2016,5.8,1.8,2.6,1.4
Kansas,Unkn!own,2017,14.3,7.8,7.4,10.2
Ka.nsas,-Unkn^own,2018,9.1,1.6,7.9,26.4
Kansas,!Unkno)wn,2019,4,NA,0.5,14.4
K$a-nsas,U$nkn&own,2020,11.3,14.3,NA,25.9
Kan(sas,Unkn*own,2021,2.2,6.5,NA,NA
Ka.nsas,Va#rr!oa &mites,2015,32.7,14.4,22.5,44.5
Kansas,V-a&r$roa mi-t#es,2016,32.2,47.3,42.8,29.2
Kansas,V-ar_roa mi@tes,2017,47.1,19.7,65.4,17.9
Kansas,@Varroa _mites,2018,63,42.8,76.8,62
K$ansas,Varroa+ mites,2019,102,NA,67.5,65.8
Kansas,#Varroa mites,2020,13.3,68.4,93.8,37.7
Kansas,Varroa mi(tes,2021,25.7,45.7,NA,NA
K#e%n_tucky,D-i(se!s#ases,2015,2.5,5.3,1.2,0.4
Ke#ntucky,Di*sesase_s,2016,0.6,1.7,0.9,3.3
Kentuc)k.y,Disesases,2017,0.4,1.1,4.6,0.5
Ken&tucky,Disesases,2018,0.9,0.6,1.6,1.2
Ke$ntucky,D.isesas%e#s,2019,0.1,NA,0.4,0.2
Kentucky,Dise^s*ases,2020,2,0.2,1.4,NA
Kentuc-ky,Di!sesases,2021,NA,1,NA,NA
K$entucky,Ot)her,2015,22.7,9.5,9,7.2
K(e*ntucky,Other,2016,11.1,16,7.4,10.3
.Ken*tuc-ky,Other,2017,16,4.8,10.3,5.6
-Kentuck^y,Other,2018,8,3.7,4.5,5.5
Kentuck!y,Ot^h)er,2019,10.7,NA,7.9,12
Kentucky,O!th^er,2020,7.6,2.9,2.4,8.2
%Kentucky,Other,2021,5.1,4.2,NA,NA
&Ke*ntucky,Ot@her& &p-e_sts!/parasit%es,2015,10.7,18.2,11.3,14.8
Kentucky,.O(t!her pe(sts-/pa#ra$sites,2016,8,36.1,25.7,22.3
Ken#tucky,Oth+er pest_s./parasites,2017,11.5,12.9,39.2,24.4
Kentucky,O-ther *pests/#par!asit#es,2018,29.6,21.8,26.5,41.9
(Ke&ntucky,Other pes$ts$/p%ara.sites,2019,12.9,NA,17.6,20.1
Ke$nt.ucky,O)t+h#er pe(sts/*p%a_rasites,2020,2.6,10.9,4,8.8
Kentuck#y,O&t.her pest#s/p(arasit#es,2021,16.9,4,NA,NA
Kentuck!y,)P$e^sticides,2015,2.5,1.8,6.5,9.8
Kentuc)ky,Pe-s$t)icide%s,2016,5.6,28.4,11.5,3
Kentu+cky,#P*e.sticides,2017,3.8,5,0.6,6.5
-Kentuck.y,Pesticides,2018,11,1.1,1.5,6.8
Ken)tucky,Pe^sti%c&ides,2019,5.3,NA,5.2,5.3
Kentu-cky,Pes.ticides,2020,0.3,1.2,1.6,NA
Ken+tucky,Pesticid)es,2021,NA,2.2,NA,NA
Kentucky,%Un_known,2015,12.9,2.9,2,1.7
Kentucky,Unkn#own,2016,7.5,3.8,4.5,5.7
Kentu-cky,Unkn.own,2017,7.5,2.1,6.2,19.1
Kentu-cky,Unknown,2018,5.9,6.3,7.6,4.3
Kentuck.y,Unkn&own,2019,4.6,NA,8.6,9.9
Ke-ntuck)y,Unknown,2020,6.5,3.2,5.1,9
Kentuc%ky,$Unknown,2021,9.3,2.6,NA,NA
Kentucky,^V*arroa mites,2015,10.8,21.7,40.4,22.2
K)entucky,_Varroa #mit_e-s,2016,20.9,38.9,42.3,48.2
#Kentu!ck@y,Varro)a $m(ite&s,2017,31.9,28.5,46.4,54.3
Kentuck(y,Varro.a mi-t-e&s,2018,43,35.4,47.1,57.1
Ke$ntuc*ky,V!arro&a .mit$es,2019,21.6,NA,29.2,33
Kent)u(ck.y,V@arroa@ mite%s,2020,17.4,18.3,23.3,23.8
Kentucky,V@a(rroa mi_t^es,2021,27.5,21.5,NA,NA
Louisian!a,Disesase.s,2015,4.3,0.2,NA,NA
Louisiana,D.ises^as.e*s,2016,13.9,NA,NA,1
L%ouisiana,D(is.esa)se#s,2017,0.1,NA,0.3,0.3
L#ouisiana,Di)s&esas_es,2018,0.2,0.2,0.2,0.3
Louisi_ana,Di+sesases,2019,0.1,NA,0.4,3.5
Louisi#an)a,.Disesas%es,2020,0.7,0.5,4.7,NA
Lou$isiana,.Dis-es@ases,2021,NA,NA,NA,NA
Louisiana,Ot*h_er,2015,3.1,5,3,2.4
Lo(ui$s%iana,-Ot+her,2016,9.9,1.2,9.6,0.7
Loui-si$ana,Other,2017,5.2,1.6,4,2.1
Lo.uisi)ana,Oth#e&r,2018,4.5,1.2,1,1
Louisiana,Other,2019,1,NA,2.5,6.1
-Louisiana,O-the_r,2020,1.4,3.5,3.6,2.9
Loui(siana,Other,2021,8.2,20.3,NA,NA
Loui.siana,Othe.r^ pest%s/p$arasites,2015,4.7,3.7,2.3,1
Louisiana,Other p^es&t*s/)parasit(es,2016,11.1,1.1,26.1,1
Louisiana,Ot^h@er_ pest.s+/para#sites,2017,8.5,3.5,74.5,26.6
(Louisiana,!O(ther p*e_sts/par+asi%t-es,2018,0.7,5.9,29.9,6.7
L(ou^isia#na,O@ther &pest@s/pa^rasi.tes,2019,1.3,NA,66.8,18.5
Louis*iana,O+the.r( pest*s/parasit-es,2020,7,4.7,14.4,2.9
Louis@iana,O(t@h@er _p@ests/p+arasi)tes,2021,8.5,3.6,NA,NA
Louisiana,P_e+s)tic.i&d.es,2015,1.7,1.1,1.6,0.6
)Louisiana,#P$e!sti%ci^d-es,2016,0.3,0.3,1.6,0.1
Louisiana,^Pest^i$cide)s,2017,2.2,2.1,1.6,0.6
Louis#ia+na,(P&est(ic)i(des,2018,0.7,0.8,1.7,5.9
L*ouisiana,Pesticide%s,2019,0.3,NA,57,0.7
Louisiana,Pes%ticides,2020,1.2,0.1,0.8,NA
Lo%ui*siana,Pe%sticides,2021,1.6,NA,NA,NA
Louisiana,Unknown,2015,2.1,0.5,0.2,0.2
Louisiana,Un-k-n!own,2016,1.5,0.6,0.7,1.2
Lo#uisiana,Unknown,2017,2.3,0.7,14.9,10.4
Loui*s!iana,Un%kn!own,2018,1.6,1.3,1.6,1.7
Louisiana,Un@know&n,2019,0.7,NA,2.7,0.9
Lo*uisiana,U&nknown,2020,0.6,1.3,3.4,NA
Louisian.a,Unk(nown,2021,0.9,0.9,NA,NA
Louis^i-ana,V*arroa m*ite^s,2015,17.2,36.4,25.9,10.9
Louisiana,Varr+oa& mi)te+s,2016,18,20.7,39.5,2.9
L^ouisiana,Varr#oa mi.te(s,2017,20.5,26.2,59.2,31.5
Lou(isiana,Varroa mi+tes,2018,4.9,8.1,31.3,16.6
Louisiana,Var.r!oa mites,2019,57.8,NA,67.1,33
L&ouisiana,Varro#a+ mi(te$s,2020,26.5,23.7,27.2,22.2
Louisiana,Varroa mites,2021,61.4,30.6,NA,NA
Maine,Disesases,2015,NA,0.1,13.2,NA
M!aine,D.ise)sa+s)es,2016,0.3,4.3,0.2,0.1
M+aine,Dise+sas$es,2017,30.5,3.4,0.9,0.4
M-aine,Di)ses(ases,2018,0.2,0.2,1.1,NA
Maine,@D%i)sesases,2019,NA,NA,0.1,0.1
Maine,)Di-sesases,2020,0.7,6.9,0.7,0.5
Main%e,Dises-a$ses,2021,NA,NA,NA,NA
Maine,O#ther,2015,7.5,0.5,2.6,0.1
Maine,O#the!r,2016,0.8,2.4,0.6,5.8
Maine,Ot(h$er,2017,26.3,1.6,1.2,0.6
Maine,)O+ther,2018,5.2,0.6,3.5,1.2
Ma_in+e,Other,2019,1.4,NA,0.2,0.3
Ma*ine,Other,2020,2.2,0.5,4.6,1.2
Mai#ne,Other,2021,2.2,1.5,NA,NA
Maine,.Ot@her@ pest-s_/parasites,2015,0.1,34.5,3.4,0.2
Maine,Othe-r pe_s@ts/pa$ras&i#tes,2016,0.4,NA,0.1,0.8
Maine,Othe&r p@e&s%ts/parasites,2017,20.9,3.6,0.9,6.2
M-aine,O(th%er &p+e@st)s/parasite+s,2018,0.6,1.1,1,5.1
Maine,Other. pe*s!ts/@parasite-s,2019,0.1,NA,0.7,NA
Main(e,+Oth%er .pe)sts!/parasite+s,2020,1.2,0.2,2.5,NA
Mai!ne,Other (pests%/$pa@rasi+tes,2021,2.6,NA,NA,NA
Mai&ne,!Pestic.i!d@es,2015,NA,34.5,NA,NA
Maine,&Pestici#des,2016,NA,31.1,NA,NA
Maine,Pesticide$s,2017,8.1,3.6,3.9,NA
(Maine,Pe+sticides,2018,NA,1.8,NA,NA
Maine,%Pes@t)i!c*ides,2019,NA,NA,NA,2.5
Maine,Pes.ticides,2020,NA,NA,NA,NA
M%aine,*Pesti$c.ides,2021,NA,NA,NA,NA
Maine,Unkno+w#n,2015,1.9,0.1,7.8,0.4
Maine,Un&kn@own,2016,1.4,27.9,NA,0.1
Ma-ine,U.nk%no@wn,2017,NA,14.2,0.1,NA
)Maine,^U+n^known,2018,7.4,0.1,0.5,0.1
Maine,Unknown,2019,0.8,NA,0.1,0.2
Maine,Unknown,2020,3,NA,6.2,0.6
Maine,Unk@n$ow!n,2021,2.1,NA,NA,NA
Main%e,Va^rroa@ *mi$tes,2015,4.4,72.1,9.9,18
Maine,Varroa -mite^s,2016,3.3,82.7,9.3,10.7
(Mai@ne,Va-rroa m$i*t-es,2017,23.9,3.6,3.4,24.9
Maine,Varr+oa mi#tes,2018,23.6,1.9,37,9.3
M*a@in)e,Varro!a+ m(i_t@es,2019,2.3,NA,10.1,20.5
M@aine,Var^roa mit+es,2020,19.6,12.1,65.2,30.8
Ma_ine,Va#rr-oa (mite.s,2021,7.2,14.1,NA,NA
Mar_yland,D_is#es&as.es,2015,0.4,0.2,2.9,0.1
)M)ar*yland,D_ise#sa&ses,2016,NA,2.4,0.1,4.5
Marylan(d,@D.i-sesases,2017,1,0.7,0.7,0.2
^M$aryland,D^isesas_es,2018,4.4,0.8,0.3,0.3
M*aryland,Disesase!s,2019,0.2,NA,NA,1.8
Maryland,Dise#sase!s,2020,0.1,0.1,NA,1.5
Ma#ryland,D_is#esas_es,2021,NA,NA,NA,NA
Maryland,Other,2015,24.2,1.6,7.1,0.2
Maryland,Othe_r,2016,7.8,3.3,0.6,5.8
Maryland,#Othe)r,2017,11.9,2,5.1,1.8
M$aryland,O.th*e*r,2018,14.3,4.4,1.1,4.9
Mary!lan^d,!Ot&he-r,2019,10.1,NA,5.1,0.3
(Maryland,(O$the@r,2020,8.5,3.2,0.6,6.2
Ma.ryland,Other,2021,19.7,2,NA,NA
Maryland,Ot@he_r p!ests%/p#a&rasit)es,2015,1.8,1.3,19.1,2
Maryland,Other^ pests/^par^asites,2016,0.1,2.3,4.8,8.3
Maryland,!Ot$her ^p(e-st!s/para&si!tes,2017,3.3,6.9,10.1,3.1
Maryland,O&ther pests/parasites,2018,5.6,3.4,6,5.3
Maryland,Othe&r pes&ts/parasi*t.e@s,2019,5.1,NA,2.7,4.5
M+aryland,%Other p#es@ts/_par^a*si^tes,2020,1.5,1.1,4.8,1.8
Maryland,Other pests/p$ara!si#t_es,2021,1.1,9,NA,NA
Maryland,Pes%ticid&e#s,2015,NA,2.5,22.8,NA
M^aryland,Pes_ticid#e)s,2016,11,2.9,0.7,4.6
Mar(yland,Pesticides,2017,1,0.2,1.6,1.1
Marylan%d,Pes-ti!ci+d!es,2018,1.5,0.3,0.6,1.2
Maryland,P$e%s_t_ic@ides,2019,NA,NA,0.3,NA
Marylan@d,Pest*icid!e%s,2020,NA,1.1,NA,0.7
Maryland,Pesti$cid)es,2021,NA,0.7,NA,NA
%M%aryland,U@nkn+own,2015,12.4,1.5,2,4.3
Maryland,Unknown,2016,0.8,0.6,1.6,0.6
Maryland,Unkno(wn,2017,4.3,1,9.1,7.8
@Mar)yland,Unk!nown,2018,3.1,0.4,3.8,1.7
Ma^ryland,U.nknow(n,2019,2.4,NA,1.4,5
Maryl&and,Unkn&own,2020,2.4,0.5,2.9,2.1
Maryland,Un)k%no*w^n,2021,2.7,1.4,NA,NA
Maryland,Varroa* m&it)e#s,2015,10.1,4.9,26.9,5.6
Maryland,V-ar-ro$a *mite*s,2016,30.2,4.2,10.8,23.8
M+aryland,%Varroa m*i$t@es,2017,11.3,3.3,8.8,7.9
)Maryland,@Va-rro&a_ mi*tes,2018,18.2,11.8,11.7,16.6
Maryland,.Va(r!r*oa mi^tes,2019,12.6,NA,26.7,12.6
Ma#ryland,Varroa m)ites,2020,19.9,12,17.6,27.5
Maryland,Varro#a ^mit#es,2021,34.6,17.4,NA,NA
Mas&sac)husetts,Disesas#es,2015,2.1,0.2,0.4,6.2
@Massac.huse@tts,$Disesa_ses,2016,0.7,0.3,6.8,0.4
M.assac(husetts,.Di$sesases,2017,2.9,11.8,0.7,6.7
Massachusetts,Disesases,2018,0.8,1,10.7,8.1
M@assachusetts,Di_se_sases,2019,NA,NA,0.2,0.8
Massachuse-t+ts,Dises!ases,2020,1.8,0.3,1.5,NA
Ma(ssac_husetts,(Di(s&esases,2021,1,NA,NA,NA
Ma+ssachusetts,*Ot.he.r,2015,7.6,4.4,2.5,2.6
Massachuset!ts,+O%ther,2016,3.1,2.3,3.4,0.7
M.assachuset$ts,Othe&r,2017,10.5,0.4,0.8,1.5
@Massachusetts,Other,2018,9.3,2,1.1,3.4
Massachuse(tt*s,)Other,2019,6.3,NA,0.7,1.1
Massach)usetts,Ot%he-r,2020,4.5,1.1,1.2,NA
Massachusetts,#O$the.r,2021,7.8,0.5,NA,NA
Massachusetts,&Ot*he)r_ pests/p^arasi&tes,2015,3.5,61.7,2.9,1.6
Massac_husetts,O.ther pests/parasites,2016,5.2,10.6,8.7,2.6
Massachusetts,&Other pests/par$as*ites,2017,5.6,11.4,0.9,1.2
Massa)c!husetts,Other pests/-p_ar)a(site@s,2018,1,1.1,11.2,9.2
Massach$usett.s,O!ther pes#t.s)/para%sites,2019,NA,NA,2.9,0.2
Mass)achusetts,Othe!r pe#s$t+s/para*site+s,2020,0.5,2.1,1.6,1.2
_Massachuse+tts,&Other pest!s/p)arasites,2021,3.6,44.3,NA,NA
M!assachusetts,Pe@sticide-s,2015,2.8,61.8,2.1,1.9
Massachusetts,#Pes-ticide_s,2016,NA,10.6,0.1,0.4
Massachusetts,P_e%sticides,2017,4.5,9.9,2.3,2.7
Ma$ssa^chusetts,Pe(sticides,2018,0.8,1.5,10.1,9.4
Mass-achusett#s,Pestici&des,2019,4.3,NA,NA,NA
Massachu%setts,@Pesti_ci@des,2020,0.3,0.4,0.8,NA
Massachusetts,Pes(ticide&s,2021,0.5,44,NA,NA
Massachusetts,_U#n^kno*wn,2015,4.7,3.1,0.3,1.1
Massachusetts,Unkn+own,2016,1.1,11.9,7.9,4.2
Massac$hus+etts,)Unkno@wn,2017,5.2,1.6,0.1,0.3
Massachu.setts,)Unknown,2018,7.2,2.1,10.3,5.3
Ma&ssachusett)s,U$nk%n^ow.n,2019,0.9,NA,7.3,10.7
.Massachusett)s,Unkn%ow-n,2020,2.2,0.4,0.7,0.9
Massac*husetts,U_nknown,2021,4.5,NA,NA,NA
(Massachusetts,!Varr^o^a^ mi.tes,2015,23.5,66.8,16.3,31.4
Ma*s!sach$usett^s,&Va-rro^a- mite@s,2016,10.1,40.5,14.1,6.1
Ma&ssachusetts,%V@a&rro$a* m^ites,2017,32,13.8,82,13.2
Massachusetts,Varr+o*a( m^i+tes,2018,19.1,6.3,75.9,33.2
Massachuset.ts,V-arroa m+ite*s,2019,10.3,NA,13,7.6
Ma.ssachusetts,-V#arroa mi_tes,2020,13.9,14.7,29.7,17.4
Massachu!setts,Varroa _mi.te#s,2021,28.9,45.5,NA,NA
Michiga@n,Dis^esa.ses,2015,1.1,0.6,7.3,NA
Michigan,Dises-as(es,2016,NA,1.1,0.3,0.1
$Michigan,D&isesa$s+es,2017,NA,0.2,8.6,5.3
)Michigan,Disesa+ses,2018,0.7,11,1.1,15.6
-Michigan,#Disesa@ses,2019,1.5,NA,8.7,9.2
Michigan,Di*s^e#sases,2020,0.2,2.2,3.4,5.3
Michigan,Dise&sases,2021,NA,0.8,NA,NA
Michig@an,%Othe$r,2015,8.3,16.4,1.8,3.2
Michigan,O(th!e&r,2016,1.2,11.8,6.5,4
Mi_chig!an,Othe.r,2017,1.1,1,15,1.5
